   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:1301(PrecisionManager)
    18454    0.024    0.000    0.076    0.000 ctx_mp.py:182(to_fixed)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:56(MPContext)
        1    0.000    0.000    0.002    0.002 ctx_mp.py:61(__init__)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:94(init_builtins)
     6072    0.050    0.000    0.321    0.000 ctx_mp_python.py:1001(f)
      208    0.000    0.000    0.001    0.000 ctx_mp_python.py:1026(_wrap_specfun)
      266    0.001    0.000    0.001    0.000 ctx_mp_python.py:141(__int__)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:143(__float__)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:145(__nonzero__)
     5842    0.020    0.000    0.040    0.000 ctx_mp_python.py:149(__abs__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:161(__neg__)
     6106    0.028    0.000    0.115    0.000 ctx_mp_python.py:167(_cmp)
     2938    0.005    0.000    0.030    0.000 ctx_mp_python.py:177(__lt__)
     3168    0.009    0.000    0.099    0.000 ctx_mp_python.py:178(__gt__)
      264    0.001    0.000    0.006    0.000 ctx_mp_python.py:182(__ne__)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:199(__rdiv__)
    18454    0.029    0.000    0.052    0.000 ctx_mp_python.py:228(to_fixed)
        7    0.000    0.000    0.005    0.001 ctx_mp_python.py:277(binary_op)
        1    0.000    0.000    0.006    0.006 ctx_mp_python.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:328(_constant)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:33(mpnumeric)
       14    0.000    0.000    0.000    0.000 ctx_mp_python.py:334(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:357(_mpc)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:366(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:39(_mpf)
    15224    0.060    0.000    0.105    0.000 ctx_mp_python.py:47(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:581(PythonMPContext)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:583(__init__)
     8993    0.018    0.000    0.027    0.000 ctx_mp_python.py:595(make_mpf)
        3    0.000    0.000    0.000    0.000 ctx_mp_python.py:600(make_mpc)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:605(default)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:610(_set_prec)
      528    0.004    0.000    0.009    0.000 ctx_mp_python.py:614(_set_dps)
     5086    0.005    0.000    0.005    0.000 ctx_mp_python.py:618(<lambda>)
      264    0.000    0.000    0.000    0.000 ctx_mp_python.py:619(<lambda>)
     7724    0.022    0.000    0.035    0.000 ctx_mp_python.py:621(convert)
      534    0.002    0.000    0.010    0.000 ctx_mp_python.py:80(mpf_convert_arg)
     3432    0.011    0.000    0.054    0.000 ctx_mp_python.py:98(mpf_convert_rhs)
       45    0.000    0.000    0.000    0.000 ctx_mp_python.py:991(_wrap_libmp_function)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:198(_concrete_ndptr)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:357(_get_scalar_type_map)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:368(<dictcomp>)
        1    0.000    0.000    0.001    0.001 curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 curve.py:19(Curve)
        1    0.000    0.000    0.002    0.002 cxxcode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cxxcode.py:106(CXX98CodePrinter)
        1    0.000    0.000    0.001    0.001 cxxcode.py:114(CXX11CodePrinter)
        1    0.000    0.000    0.000    0.000 cxxcode.py:143(CXX17CodePrinter)
        1    0.000    0.000    0.000    0.000 cxxcode.py:79(_CXXCodePrinterBase)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1141(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1558(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1566(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2199(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:441(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.004    0.004 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decompogen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decompositions.py:1(<module>)
        1    0.000    0.000    0.251    0.251 decorator.py:1(<module>)
        7    0.000    0.000    0.000    0.000 decorator.py:129(doctest_depends_on)
        1    0.000    0.000    0.123    0.123 decorator.py:13(threaded_factory)
        7    0.000    0.000    0.000    0.000 decorator.py:164(depends_on_deco)
      158    0.001    0.000    0.001    0.000 decorator.py:178(public)
       42    0.000    0.000    0.001    0.000 decorator.py:227(memoize_property)
       36    0.000    0.000    0.000    0.000 decorator.py:234(accessor)
        1    0.000    0.000    0.123    0.123 decorator.py:61(xthreaded)
        1    0.000    0.000    0.000    0.000 decorator.py:81(conserve_mpmath_dps)
        1    0.000    0.000    0.000    0.000 decorator.py:98(no_attrs_in_subclass)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
       42    0.000    0.000    0.001    0.000 decorators.py:119(priority_decorator)
  375/362    0.002    0.000    0.398    0.001 decorators.py:120(binary_op_wrapper)
       10    0.000    0.000    0.002    0.000 decorators.py:13(deprecated)
        2    0.000    0.000    0.001    0.001 decorators.py:132(sympify_method_args)
       23    0.000    0.000    0.000    0.000 decorators.py:199(sympify_return)
       23    0.000    0.000    0.000    0.000 decorators.py:205(wrapper)
        1    0.000    0.000    0.000    0.000 decorators.py:210(_SympifyWrapper)
       23    0.000    0.000    0.000    0.000 decorators.py:213(__init__)
       25    0.000    0.000    0.001    0.000 decorators.py:217(make_wrapped)
       10    0.000    0.000    0.000    0.000 decorators.py:23(deprecated_decorator)
  375/362    0.002    0.000    0.401    0.001 decorators.py:239(_func)
       53    0.000    0.000    0.000    0.000 decorators.py:43(_sympifyit)
       53    0.000    0.000    0.001    0.000 decorators.py:59(deco)
       53    0.000    0.000    0.001    0.000 decorators.py:65(__sympifyit)
2801/2794    0.008    0.000    0.181    0.000 decorators.py:82(__sympifyit_wrapper)
       42    0.000    0.000    0.000    0.000 decorators.py:96(call_highest_priority)
        1    0.000    0.000    0.000    0.000 defaults.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defaults.py:3(DefaultPrinting)
        1    0.000    0.000    0.014    0.014 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.022    0.022 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.002    0.002 delta_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 delta_functions.py:17(DiracDelta)
        1    0.000    0.000    0.000    0.000 delta_functions.py:392(Heaviside)
        1    0.000    0.000    0.022    0.022 dense.py:1(<module>)
       66    0.001    0.000    0.002    0.000 dense.py:135(_eval_extract)
      264    0.000    0.000    0.000    0.000 dense.py:138(<genexpr>)
      264    0.000    0.000    0.001    0.000 dense.py:140(<genexpr>)
        1    0.000    0.000    0.000    0.000 dense.py:292(MutableDenseMatrix)
      166    0.001    0.000    0.042    0.000 dense.py:295(__new__)
      430    0.006    0.000    0.114    0.000 dense.py:298(_new)
        1    0.000    0.000    0.000    0.000 dense.py:38(DenseMatrix)
     2156    0.011    0.000    0.054    0.000 dense.py:58(__getitem__)
        1    0.000    0.000    0.004    0.004 dense_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:11(DenseNDimArray)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:123(ImmutableDenseNDimArray)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:156(MutableDenseNDimArray)
        1    0.000    0.000    0.000    0.000 densearith.py:1(<module>)
        1    0.000    0.000    0.002    0.002 densebasic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 densetools.py:1(<module>)
        2    0.000    0.000    0.001    0.000 determinant.py:1(<module>)
      231    0.004    0.000    0.052    0.000 determinant.py:16(_find_reasonable_pivot)
      231    0.000    0.000    0.000    0.000 determinant.py:39(<genexpr>)
       67    0.003    0.000    0.034    0.001 determinant.py:484(_det)
        1    0.000    0.000    0.000    0.000 determinant.py:5(Determinant)
        1    0.000    0.000    0.000    0.000 deutils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 diagonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 diagonal.py:156(DiagMatrix)
        1    0.000    0.000    0.000    0.000 diagonal.py:8(DiagonalMatrix)
        1    0.000    0.000    0.000    0.000 diagonal.py:85(DiagonalOf)
        1    0.000    0.000    0.000    0.000 differentiation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:1696(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:746(Differ)
        1    0.000    0.000    0.000    0.000 digits.py:1(<module>)
        1    0.000    0.000    0.011    0.011 diophantine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 diophantine.py:139(DiophantineEquationType)
        1    0.000    0.000    0.000    0.000 diophantine.py:194(Univariate)
        1    0.000    0.000    0.000    0.000 diophantine.py:201(Linear)
        1    0.000    0.000    0.000    0.000 diophantine.py:208(BinaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:215(InhomogeneousTernaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:226(HomogeneousTernaryQuadraticNormal)
        1    0.000    0.000    0.000    0.000 diophantine.py:241(HomogeneousTernaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:256(InhomogeneousGeneralQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:271(HomogeneousGeneralQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:286(GeneralSumOfSquares)
        1    0.000    0.000    0.000    0.000 diophantine.py:299(GeneralPythagorean)
        1    0.000    0.000    0.000    0.000 diophantine.py:318(CubicThue)
        1    0.000    0.000    0.000    0.000 diophantine.py:325(GeneralSumOfEvenPowers)
        1    0.000    0.000    0.000    0.000 diophantine.py:355(<listcomp>)
        1    0.000    0.000    0.000    0.000 diophantine.py:39(DiophantineSolutionSet)
        1    0.000    0.000    0.003    0.003 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:209(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:479(Bytecode)
        1    0.000    0.000    0.004    0.004 dispatcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatcher.py:10(MDNotImplementedError)
       44    0.001    0.000    0.109    0.002 dispatcher.py:135(add)
      132    0.000    0.000    0.000    0.000 dispatcher.py:161(<genexpr>)
       44    0.000    0.000    0.108    0.002 dispatcher.py:179(reorder)
        1    0.000    0.000    0.000    0.000 dispatcher.py:323(MethodDispatcher)
        1    0.000    0.000    0.000    0.000 dispatcher.py:46(Dispatcher)
        6    0.000    0.000    0.000    0.000 dispatcher.py:70(__init__)
        1    0.000    0.000    0.001    0.001 doctest.py:1128(DocTestRunner)
       11    0.000    0.000    0.000    0.000 doctest.py:132(register_optionflag)
        1    0.000    0.000    0.000    0.000 doctest.py:1568(OutputChecker)
        1    0.000    0.000    0.000    0.000 doctest.py:1714(DocTestFailure)
        1    0.000    0.000    0.000    0.000 doctest.py:1733(UnexpectedException)
        1    0.000    0.000    0.000    0.000 doctest.py:1752(DebugRunner)
        1    0.000    0.000    0.000    0.000 doctest.py:2156(DocTestCase)
        1    0.000    0.000    0.000    0.000 doctest.py:2316(SkipDocTestCase)
        1    0.000    0.000    0.000    0.000 doctest.py:2333(_DocTestSuite)
        1    0.000    0.000    0.000    0.000 doctest.py:2403(DocFileCase)
        1    0.000    0.000    0.000    0.000 doctest.py:255(_SpoofOut)
        1    0.000    0.000    0.000    0.000 doctest.py:2652(_TestClass)
        1    0.000    0.000    0.000    0.000 doctest.py:353(_OutputRedirectingPdb)
        1    0.000    0.000    0.000    0.000 doctest.py:436(Example)
        1    0.000    0.000    0.000    0.000 doctest.py:504(DocTest)
        1    0.000    0.000    0.010    0.010 doctest.py:579(DocTestParser)
        1    0.000    0.000    0.000    0.000 doctest.py:814(DocTestFinder)
        1    0.000    0.000    0.214    0.214 doctest.py:9(<module>)
        1    0.000    0.000    0.011    0.011 domain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 domain.py:16(Domain)
        1    0.000    0.000    0.000    0.000 domainelement.py:1(<module>)
        1    0.000    0.000    0.000    0.000 domainelement.py:7(DomainElement)
        1    0.000    0.000    0.000    0.000 dot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dotproduct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dotproduct.py:6(DotProduct)
        1    0.000    0.000    0.000    0.000 egyptian_fraction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eigen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eigen.py:14(<module>)
        1    0.000    0.000    0.000    0.000 eigen.py:38(Eigen)
       11    0.000    0.000    0.000    0.000 eigen.py:41(defun)
        1    0.000    0.000    0.000    0.000 eigen_symmetric.py:13(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.013    0.013 ellipse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ellipse.py:1482(Circle)
        1    0.000    0.000    0.000    0.000 ellipse.py:36(Ellipse)
        1    0.000    0.000    0.000    0.000 elliptic.py:1(<module>)
        1    0.000    0.000    0.006    0.006 elliptic_integrals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 elliptic_integrals.py:109(elliptic_f)
        1    0.000    0.000    0.000    0.000 elliptic_integrals.py:12(elliptic_k)
        1    0.000    0.000    0.000    0.000 elliptic_integrals.py:194(elliptic_e)
        1    0.000    0.000    0.000    0.000 elliptic_integrals.py:316(elliptic_pi)
        1    0.000    0.000    0.135    0.135 entity.py:1(<module>)
     1161    0.006    0.000    0.035    0.000 entity.py:113(__new__)
     2322    0.005    0.000    0.010    0.000 entity.py:116(is_seq_and_not_point)
     1161    0.008    0.000    0.024    0.000 entity.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 entity.py:532(GeometrySet)
        1    0.000    0.000    0.000    0.000 entity.py:61(GeometryEntity)
       20    0.000    0.000    0.001    0.000 enum.py:119(__prepare__)
      222    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       20    0.004    0.000    0.011    0.001 enum.py:129(__new__)
       20    0.000    0.000    0.000    0.000 enum.py:146(<dictcomp>)
       20    0.001    0.000    0.002    0.000 enum.py:171(<setcomp>)
       59    0.000    0.000    0.000    0.000 enum.py:192(<genexpr>)
      281    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
      895    0.007    0.000    0.018    0.000 enum.py:278(__call__)
      280    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
       21    0.000    0.000    0.000    0.000 enum.py:327(__getattr__)
       13    0.000    0.000    0.000    0.000 enum.py:352(__members__)
        1    0.000    0.000    0.000    0.000 enum.py:36(_make_class_unpicklable)
      351    0.002    0.000    0.002    0.000 enum.py:368(__setattr__)
       12    0.000    0.000    0.010    0.001 enum.py:381(_create_)
       12    0.000    0.000    0.018    0.002 enum.py:434(_convert_)
       12    0.002    0.000    0.008    0.001 enum.py:451(<listcomp>)
      103    0.000    0.000    0.000    0.000 enum.py:457(<lambda>)
       52    0.000    0.000    0.001    0.000 enum.py:473(_get_mixins_)
       52    0.001    0.000    0.001    0.000 enum.py:484(_find_data_type)
       20    0.000    0.000    0.001    0.000 enum.py:505(_find_new_)
      883    0.001    0.000    0.002    0.000 enum.py:557(__new__)
       20    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:597(_generate_next_value_)
      280    0.001    0.000    0.003    0.000 enum.py:64(__setitem__)
       50    0.000    0.000    0.000    0.000 enum.py:654(name)
      270    0.000    0.000    0.000    0.000 enum.py:659(value)
        4    0.000    0.000    0.000    0.000 enum.py:785(_missing_)
        4    0.000    0.000    0.000    0.000 enum.py:792(_create_pseudo_member_)
        6    0.000    0.000    0.001    0.000 enum.py:822(__or__)
       59    0.001    0.000    0.001    0.000 enum.py:828(__and__)
       10    0.000    0.000    0.000    0.000 enum.py:847(_high_bit)
        4    0.000    0.000    0.000    0.000 enum.py:864(_decompose)
        4    0.000    0.000    0.000    0.000 enum.py:881(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:893(<lambda>)
       14    0.000    0.000    0.000    0.000 enum.py:899(_power_of_two)
        1    0.000    0.000    0.000    0.000 enumerative.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enumerative.py:372(MultisetPartitionTraverser)
        1    0.000    0.000    0.000    0.000 enumerative.py:94(PartComponent)
        1    0.000    0.000    0.000    0.000 epathtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 epathtools.py:8(EPath)
        1    0.000    0.000    0.032    0.032 error_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error_functions.py:1008(Ei)
        1    0.000    0.000    0.000    0.000 error_functions.py:1163(expint)
        1    0.000    0.000    0.000    0.000 error_functions.py:1369(li)
        1    0.000    0.000    0.000    0.000 error_functions.py:1525(Li)
        1    0.000    0.000    0.000    0.000 error_functions.py:1617(TrigonometricIntegral)
        1    0.000    0.000    0.000    0.000 error_functions.py:1683(Si)
        1    0.000    0.000    0.000    0.000 error_functions.py:1792(Ci)
        1    0.000    0.000    0.000    0.000 error_functions.py:1899(Shi)
        1    0.000    0.000    0.000    0.000 error_functions.py:1997(Chi)
        1    0.000    0.000    0.000    0.000 error_functions.py:2104(FresnelIntegral)
        1    0.000    0.000    0.000    0.000 error_functions.py:2162(fresnels)
        1    0.000    0.000    0.000    0.000 error_functions.py:2303(fresnelc)
        1    0.000    0.000    0.000    0.000 error_functions.py:239(erfc)
        1    0.000    0.000    0.000    0.000 error_functions.py:2449(_erfs)
        1    0.000    0.000    0.000    0.000 error_functions.py:2494(_eis)
        1    0.000    0.000    0.000    0.000 error_functions.py:41(erf)
        1    0.000    0.000    0.000    0.000 error_functions.py:425(erfi)
        1    0.000    0.000    0.000    0.000 error_functions.py:596(erf2)
        1    0.000    0.000    0.000    0.000 error_functions.py:741(erfinv)
        1    0.000    0.000    0.000    0.000 error_functions.py:835(erfcinv)
        1    0.000    0.000    0.000    0.000 error_functions.py:911(erf2inv)
        1    0.000    0.000    0.028    0.028 euclidtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 euler.py:1(<module>)
        1    0.000    0.000    0.271    0.271 evalf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 evalf.py:1250(_create_evalf_table)
      264    0.000    0.000    0.000    0.000 evalf.py:1269(<lambda>)
      529    0.002    0.000    0.020    0.000 evalf.py:1270(<lambda>)
       11    0.000    0.000    0.000    0.000 evalf.py:1271(<lambda>)
      133    0.000    0.000    0.000    0.000 evalf.py:1272(<lambda>)
        1    0.000    0.000    0.000    0.000 evalf.py:1273(<lambda>)
        1    0.000    0.000    0.000    0.000 evalf.py:1278(<lambda>)
      939    0.010    0.000    0.041    0.000 evalf.py:1309(evalf)
        1    0.000    0.000    0.000    0.000 evalf.py:1367(EvalfMixin)
      939    0.018    0.000    0.092    0.000 evalf.py:1372(evalf)
      264    0.002    0.000    0.007    0.000 evalf.py:1500(_to_mpmath)
      264    0.001    0.000    0.002    0.000 evalf.py:278(chop_parts)
        1    0.000    0.000    0.000    0.000 evalf.py:50(PrecisionExhausted)
      264    0.001    0.000    0.001    0.000 evalf.py:82(fastlog)
        1    0.000    0.000    0.014    0.014 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:163(AbstractServer)
        1    0.000    0.000    0.000    0.000 events.py:205(AbstractEventLoop)
        1    0.000    0.000    0.000    0.000 events.py:25(Handle)
        1    0.000    0.000    0.000    0.000 events.py:572(AbstractEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 events.py:606(BaseDefaultEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 events.py:621(_Local)
        1    0.000    0.000    0.000    0.000 events.py:670(_RunningLoop)
        1    0.000    0.000    0.000    0.000 events.py:99(TimerHandle)
        3    0.000    0.000    0.001    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:12(SymPyDeprecationWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(TimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:17(InvalidStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:21(SendfileNotAvailableError)
        1    0.000    0.000    0.000    0.000 exceptions.py:29(IncompleteReadError)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(GeometryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:46(LimitOverrunError)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(CancelledError)
        1    0.000    0.000    0.000    0.000 experimental_lambdify.py:1(<module>)
        1    0.000    0.000    0.000    0.000 experimental_lambdify.py:174(lambdify)
        1    0.000    0.000    0.000    0.000 experimental_lambdify.py:247(Lambdifier)
        1    0.000    0.000    0.000    0.000 experimental_lambdify.py:82(vectorized_lambdify)
        1    0.000    0.000    0.000    0.000 expintegrals.py:1(<module>)
        1    0.000    0.000    0.012    0.012 exponential.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exponential.py:124(exp_polar)
        1    0.000    0.000    0.000    0.000 exponential.py:193(exp)
        1    0.000    0.000    0.000    0.000 exponential.py:28(ExpBase)
        1    0.000    0.000    0.000    0.000 exponential.py:545(log)
        1    0.000    0.000    0.000    0.000 exponential.py:947(LambertW)
        1    0.000    0.000    0.376    0.376 expr.py:1(<module>)
17314/16754    0.024    0.000    0.038    0.000 expr.py:106(__hash__)
      312    0.000    0.000    0.000    0.000 expr.py:115(_hashable_content)
        7    0.000    0.000    0.000    0.000 expr.py:124(__eq__)
        1    0.000    0.000    0.000    0.000 expr.py:1280(args_cnc)
        1    0.000    0.000    0.001    0.001 expr.py:16(Expr)
        7    0.000    0.000    0.000    0.000 expr.py:175(__add__)
      307    0.004    0.000    0.072    0.000 expr.py:1882(as_real_imag)
      286    0.001    0.000    0.311    0.001 expr.py:195(__mul__)
      528    0.001    0.000    0.001    0.000 expr.py:1956(as_base_exp)
        6    0.000    0.000    0.015    0.002 expr.py:200(__rmul__)
    34/31    0.000    0.000    0.043    0.001 expr.py:205(_pow)
    34/31    0.000    0.000    0.043    0.001 expr.py:210(__pow__)
      8/7    0.000    0.000    0.015    0.002 expr.py:232(__div__)
       34    0.000    0.000    0.037    0.001 expr.py:237(__rdiv__)
        1    0.000    0.000    0.000    0.000 expr.py:334(_cmp)
        5    0.000    0.000    0.000    0.000 expr.py:3351(as_coeff_Mul)
        1    0.000    0.000    0.000    0.000 expr.py:3768(AtomicExpr)
        1    0.000    0.000    0.000    0.000 expr.py:3844(UnevaluatedExpr)
        1    0.000    0.000    0.000    0.000 expr.py:3872(_n2)
        1    0.000    0.000    0.000    0.000 expr.py:3913(ExprBuilder)
        1    0.000    0.000    0.000    0.000 expr.py:403(__lt__)
      3/2    0.000    0.000    0.000    0.000 expr.py:426(is_number)
      9/6    0.000    0.000    0.000    0.000 expr.py:476(<genexpr>)
       67    0.003    0.000    0.017    0.000 expr.py:725(equals)
      264    0.002    0.000    0.059    0.000 expr.py:857(_eval_is_positive)
      280    0.002    0.000    0.081    0.000 expr.py:867(_eval_is_negative)
      571    0.010    0.000    0.040    0.000 expr.py:877(_eval_is_extended_positive_negative)
      264    0.001    0.000    0.005    0.000 expr.py:912(_eval_is_extended_positive)
      307    0.001    0.000    0.037    0.000 expr.py:915(_eval_is_extended_negative)
        1    0.000    0.000    0.000    0.000 expr.py:999(_eval_power)
        1    0.000    0.000    0.003    0.003 expr_with_intlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr_with_intlimits.py:13(ExprWithIntLimits)
        1    0.000    0.000    0.000    0.000 expr_with_intlimits.py:5(ReorderError)
        1    0.000    0.000    0.001    0.001 expr_with_limits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr_with_limits.py:161(ExprWithLimits)
        1    0.000    0.000    0.000    0.000 expr_with_limits.py:488(AddWithLimits)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:149(__init__)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:15(ExpressionDomain)
        1    0.000    0.000    0.000    0.000 expressiondomain.py:21(Expression)
        2    0.000    0.000    0.000    0.000 expressiondomain.py:26(__init__)
        1    0.000    0.000    0.002    0.002 exprtools.py:1(<module>)
       67    0.000    0.000    0.002    0.000 exprtools.py:1151(factor_terms)
       67    0.001    0.000    0.002    0.000 exprtools.py:1204(do)
        1    0.000    0.000    0.000    0.000 exprtools.py:285(Factors)
        1    0.000    0.000    0.000    0.000 exprtools.py:813(Term)
        1    0.000    0.000    0.000    0.000 extrapolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extrapolation.py:266(levin_class)
        1    0.000    0.000    0.000    0.000 extrapolation.py:728(cohen_alt_class)
        1    0.000    0.000    0.003    0.003 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1472(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1502(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1520(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:215(_fromnxfunction)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        1    0.000    0.000    0.000    0.000 extras.py:270(_fromnxfunction_single)
        1    0.000    0.000    0.000    0.000 extras.py:288(_fromnxfunction_seq)
        1    0.000    0.000    0.000    0.000 extras.py:301(_fromnxfunction_args)
        1    0.000    0.000    0.000    0.000 extras.py:326(_fromnxfunction_allargs)
        1    0.000    0.000    0.007    0.007 factor_.py:1(<module>)
       15    0.000    0.000    0.001    0.000 factor_.py:1389(factorrat)
        1    0.000    0.000    0.000    0.000 factor_.py:1837(totient)
        1    0.000    0.000    0.000    0.000 factor_.py:1918(reduced_totient)
        1    0.000    0.000    0.000    0.000 factor_.py:1981(divisor_sigma)
        1    0.000    0.000    0.000    0.000 factor_.py:2135(udivisor_sigma)
        1    0.000    0.000    0.000    0.000 factor_.py:2201(primenu)
        1    0.000    0.000    0.000    0.000 factor_.py:2246(primeomega)
        6    0.000    0.000    0.000    0.000 factor_.py:247(multiplicity)
